epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.724,1.88169,3.50913,1.71695,0.78329,0.25271,0.2866,0.14063,1.95545,2.39465,1.70677,0.000220768,0.000220768,0.000220768
2,635.755,1.87645,2.02229,1.6549,0.7618,0.32219,0.36131,0.16761,1.90464,1.80281,1.65512,0.000399234,0.000399234,0.000399234
3,1076.25,1.81784,1.68345,1.598,0.74428,0.38939,0.44312,0.20879,1.83095,1.63195,1.61456,0.000533678,0.000533678,0.000533678
4,1533.16,1.76208,1.51679,1.54862,0.74477,0.41375,0.47554,0.22182,1.85177,1.4591,1.5869,0.000468901,0.000468901,0.000468901
5,2021.91,1.73346,1.42179,1.51407,0.59743,0.44024,0.46434,0.21351,1.8204,1.43338,1.59503,0.000402868,0.000402868,0.000402868
6,2462.53,1.70502,1.35303,1.49095,0.59858,0.45508,0.49126,0.2327,1.75501,1.32996,1.51621,0.000336835,0.000336835,0.000336835
7,2904.92,1.66177,1.29554,1.4714,0.56505,0.50373,0.50347,0.24189,1.75802,1.29297,1.5166,0.000270802,0.000270802,0.000270802
8,3433.06,1.61553,1.23804,1.43647,0.63778,0.48054,0.50149,0.24803,1.72455,1.25452,1.49828,0.000204769,0.000204769,0.000204769
9,3924.97,1.58764,1.19901,1.42256,0.60787,0.49309,0.50815,0.24948,1.6962,1.20803,1.48258,0.000138736,0.000138736,0.000138736
10,4434.17,1.55906,1.15744,1.39262,0.61981,0.52515,0.53121,0.25726,1.69571,1.18735,1.47926,7.2703e-05,7.2703e-05,7.2703e-05
